 Magnetization  Partition Function          Free Energy
         -16   15.751477293075286       -9.6492695504056893     
         -14   257.87928954014939       -19.433720619029071     
         -12   1972.1564150822608       -26.554089975035378     
         -10   9353.6916935584341       -32.002342322622511     
          -8   30799.146311139393       -36.173347879923590     
          -6   74663.961319924172       -39.272634832165757     
          -4   137860.84717055212       -41.419000355502064     
          -2   197781.42574422265       -42.682212263376371     
           0   222818.11334638743       -43.099388788445069     
           2   197781.42574422449       -42.682212263376400     
           4   137860.84717055131       -41.419000355502035     
           6   74663.961319928596       -39.272634832165970     
           8   30799.146311139495       -36.173347879923597     
          10   9353.6916935584650       -32.002342322622518     
          12   1972.1564150822558       -26.554089975035367     
          14   257.87928954014939       -19.433720619029071     
          16   15.751477293075286       -9.6492695504056893     
